evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
HEST::INT10::raw_download_page_link1	physical_unit	HEST::INT10	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_id	physical_unit	HEST::INT10	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	id	INT10		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_patient	physical_unit	HEST::INT10	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	patient	Patient 15		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_slide_id	physical_unit	HEST::INT10	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_st_technology	physical_unit	HEST::INT10	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_study_link	physical_unit	HEST::INT10	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_subseries	physical_unit	HEST::INT10	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	subseries	ccRCC tumor frozen_a_15		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT10::raw_z_step_size	physical_unit	HEST::INT10	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT10.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_download_page_link1	physical_unit	HEST::INT11	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_id	physical_unit	HEST::INT11	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	id	INT11		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_patient	physical_unit	HEST::INT11	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	patient	Patient 14		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_slide_id	physical_unit	HEST::INT11	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_st_technology	physical_unit	HEST::INT11	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_study_link	physical_unit	HEST::INT11	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_subseries	physical_unit	HEST::INT11	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	subseries	ccRCC tumor frozen_a_3		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT11::raw_z_step_size	physical_unit	HEST::INT11	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT11.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_download_page_link1	physical_unit	HEST::INT12	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_id	physical_unit	HEST::INT12	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	id	INT12		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_patient	physical_unit	HEST::INT12	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	patient	Patient 13		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_slide_id	physical_unit	HEST::INT12	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_st_technology	physical_unit	HEST::INT12	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_study_link	physical_unit	HEST::INT12	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_subseries	physical_unit	HEST::INT12	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	subseries	ccRCC tumor frozen_a_1		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT12::raw_z_step_size	physical_unit	HEST::INT12	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT12.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_download_page_link1	physical_unit	HEST::INT13	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_id	physical_unit	HEST::INT13	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	id	INT13		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_patient	physical_unit	HEST::INT13	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	patient	Patient 12		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_slide_id	physical_unit	HEST::INT13	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_st_technology	physical_unit	HEST::INT13	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_study_link	physical_unit	HEST::INT13	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_subseries	physical_unit	HEST::INT13	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	subseries	ccRCC tumor ffpe_c_51		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT13::raw_z_step_size	physical_unit	HEST::INT13	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT13.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_download_page_link1	physical_unit	HEST::INT14	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_id	physical_unit	HEST::INT14	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	id	INT14		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_patient	physical_unit	HEST::INT14	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	patient	Patient 11		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_slide_id	physical_unit	HEST::INT14	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_st_technology	physical_unit	HEST::INT14	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_study_link	physical_unit	HEST::INT14	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_subseries	physical_unit	HEST::INT14	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	subseries	ccRCC tumor ffpe_c_45		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT14::raw_z_step_size	physical_unit	HEST::INT14	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT14.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_download_page_link1	physical_unit	HEST::INT15	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
