finding_id	source_id	evidence_location	fact	interpretation	status
PF-001	hest_metadata_json	data/other_sources/hest1k/metadata/*.json	patient is non-missing in 244/492 records with 65 raw unique values	Patient identity is only partially covered and raw aliases require source-specific normalization; missing values remain unknown	OPEN
PF-002	hest_metadata_json	data/other_sources/hest1k/metadata/*.json	slide_id is non-missing in 29/492 records with 15 raw unique values, including 10 values equal to N/A	slide_id cannot currently provide general section identity and N/A must be treated as missing	OPEN
PF-003	hest_metadata_json	data/other_sources/hest1k/metadata/*.json	study_link is non-missing in 407/492 records with 32 unique values	Study links can support cross-source duplicate investigation but do not prove physical sample identity	OPEN
PF-004	hest_metadata_json	data/other_sources/hest1k/metadata/*.json	region_name occurs in 29/492 records and segmentation_stain in 2/492 records	These are potential derived-annotation fields; provenance and input overlap require R-02 audit before any GT use	OPEN
PF-005	atlas_supplement_tables	paper/tables/science.adz2742_tables_s1_to_s8.xlsx::Table S2	Table S2 includes Patients, Sample ID, TLS presence and TLS count	Patient/sample mappings may support R-01, while TLS fields are potential GT and require R-02 provenance audit	OPEN
PF-006	atlas_supplement_tables	paper/tables/science.adz2742_tables_s1_to_s8.xlsx::Table S4	Table S4 includes TLS ID, maturation state, spatial location and size	Structure-level metadata exists, but mapping to physical sections and GT-input non-overlap are not yet established	OPEN
PF-007	hest_metadata_json	data/other_sources/hest1k/metadata/*.json	z_step_size is non-missing in 29/492 records and uniformly equals 3.0, primarily in Xenium metadata	This is an acquisition or segmentation z-step field, not evidence of serial tissue-section order or spacing; R-03 remains open and H-06/H-07 remain unjudged	OPEN
PF-008	upstream_crc_cohort_metadata	repo/data_meta/ST_CRC_cohort_meta2.csv	48 metadata rows include 12 rows explicitly marked duplicated; 41 raw sample_key values map to 30 patient_name and 31 block_name values	Duplicate rows and all samples sharing a patient or block must remain in one conservative leakage group	OPEN
PF-009	upstream_crc_cohort_metadata	repo/data_meta/ST_CRC_cohort_meta2.csv and data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2	49 local h5ad names versus 48 metadata asset names leave two local-only files and one metadata-only file	The HTAN asset-to-metadata inventory is not closed and cannot yet satisfy R-01 completeness	OPEN
PF-010	hest_metadata_json	data/other_sources/hest1k/metadata/TENX147.json through TENX156.json	patient is uniformly Patient 1 while subseries names encode P1, P2, P3 or P5 CRC/NAT samples	The bundled fields conflict; these records require EC_conflict or source-specific resolution rather than trusting patient blindly	OPEN
PF-011	atlas_supplement_tables	paper/tables/science.adz2742_tables_s1_to_s8.xlsx::Table S2	After excluding the final Total row, Table S2 contains 340 sample rows, 255 study-namespaced patients, 148 TLS-positive samples and a reported total of 695 TLS	The table can seed patient/sample identity and sample-level TLS metadata, but TLS provenance and physical-section mapping remain open	OPEN
